;entities
951;['PERCENT: tusind procent', 'WORK OF ART: De vindfølsomme', 'TIME: om dagen', 'QUANTITY: ni kvm']
952;['QUANTITY: 267 kilometer', 'MONEY: DKK2090', 'PERSON: Pontoppidan', 'WORK OF ART: Lykke-Per']
953;['GPE: Finland']
954;['PERSON: Michelle Yilmaz', 'DATE: 2013-02-03']
955;['WORK OF ART: Herrens Veje', 'GPE: Oksbøl']
956;['MONEY: 2720 USD', 'TIME: fem minutter', 'PERCENT: 45%', 'DATE: en måned']
957;['WORK OF ART: Ser du månen, Daniel']
958;['EVENT: Tsunamien i Indonesien', 'TIME: formiddag']
959;['QUANTITY: femten kg']
960;['QUANTITY: 55 mm', 'LOCATION: Nordsjælland', 'MONEY: 108dkk']
961;['PERSON: Benedikte Svarrer']
962;['DATE: næste måned', 'GPE: Italien', 'NORP: Soc.Dem']
963;['DATE: 20. Januar 2009']
964;['LOCATION: Fyn', 'DATE: 18 uger']
965;['PRODUCT: Blåvand 1/2 Zip Fleece']
966;['FACILITY: Målev flyveplads', 'PERCENT: 94.97 %', 'PERSON: Torben Dall', 'QUANTITY: tre mL']
967;['WORK OF ART: FIFA 12']
968;['GPE: Aarhus']
969;['NORP: danske', 'ORDINAL: tredje', 'NORP: Stram Kurs']
970;['DATE: sidste måned']
971;['PRODUCT: Golf {car}']
972;['LOCATION: Pyrenæerne', 'FACILITY: Københavns Lufthavn']
973;['GPE: Gråsten', 'PERCENT: halvtreds procent', 'LAW: NIS-loven', 'EVENT: Klimatopmødet COP26']
974;['FACILITY: Dokk1']
975;['EVENT: nytårsaften', 'DATE: i dag', 'LANGUAGE: maltesisk']
976;['ORGANIZATION: Forenede Nationer']
977;['ORGANIZATION: VIA {university}']
978;['CARDINAL: ni']
979;['DATE: i dag', 'PERCENT: 64 %']
980;['CARDINAL: 11.0', 'EVENT: 11. september {terror attack}', 'PERCENT: 99%']
981;['WORK OF ART: Pokemon']
982;['MONEY: ti KR', 'PERSON: Lilian Hussain', 'LOCATION: St. Thomas']
983;['ORGANIZATION: Danmarks Domstole']
984;['LOCATION: Rold Skov']
985;['LOCATION: det Kaspiske Hav']
986;['QUANTITY: 61 kilogram']
987;['GPE: Hadsten']
988;['GPE: Ghana', 'PERSON: Adrian', 'ORGANIZATION: NATO']
989;['PERCENT: 90 %', 'GPE: Holte', 'PRODUCT: Facestudio Lasting Fix Spray']
990;['MONEY: 152 amerikanske dollars', 'QUANTITY: 152 kvadratmeter']
991;['LAW: §§ 6-9']
992;['GPE: Hurup Thy']
993;['MONEY: 295dkk', 'GPE: Liverpool']
994;['DATE: Lørdag, 01-Maj-99', 'PERCENT: 71 %', 'EVENT: Danish Music Awards', 'WORK OF ART: Blinkende lygter']
995;['PERSON: Fie Q. Buus']
996;['QUANTITY: 120 gram', 'MONEY: 5271 kr.']
997;['GPE: Maribos', 'LOCATION: Klosterheden']
998;['ORGANIZATION: Mærsks', 'GPE: Nicaragua', 'PERCENT: 17.03%', 'DATE: et år']
999;['LANGUAGE: hindi', 'ORGANIZATION: Europa-Kommisionen', 'GPE: Slovenien']
1000;['LAW: Inspire-loven']
1001;['PERSON: Omar', 'PERSON: Charles Darwin']
1002;['DATE: en uge', 'CARDINAL: 41']
1003;['PERCENT: tre procent']
1004;['PERSON: Vilma Schaltz', 'GPE: Rom']
1005;['PERCENT: 64%', 'QUANTITY: 115 meter']
1006;['TIME: 20 min']
1007;['GPE: Odense', 'LANGUAGE: indisk']
1008;['FACILITY: Østergade', 'ORGANIZATION: Haribo', 'PRODUCT: Vampyrer']
1009;['GPE: Vanløse']
1010;['QUANTITY: 252 dm']
1011;['GPE: Aabenraa']
1012;['LOCATION: Rebild Bakker', 'ORGANIZATION: Lego A/S', 'CARDINAL: seksten']
1013;['QUANTITY: 7649cm']
1014;['MONEY: 7649 £']
1015;['FACILITY: Tothaven {farm}', 'WORK OF ART: Den Jeg Elsker']
1016;['GPE: Oslo', 'ORGANIZATION: Nintendo']
1017;['GPE: Argentina', 'DATE: 01. Juni 2014', 'FACILITY: Frøslevlejren', 'QUANTITY: 130 celsius']
1018;['LOCATION: Jylland', 'GPE: København']
1019;['NORP: Frie Grønne']
1020;['NORP: franske']
1021;['NORP: Kristne', 'FACILITY: Kanonbådsskurene', 'ORGANIZATION: Bose', 'PRODUCT: QuietComfort 45']
1022;['DATE: idag']
1023;['GPE: Kolding', 'WORK OF ART: En frygtelig kvinde']
1024;['PRODUCT: Bikuben {lamp}', 'TIME: kl. 03.00', 'NORP: Frie Grønne']
1025;['ORGANIZATION: Snap {snapchat}']
1026;['ORGANIZATION: højesteret', 'QUANTITY: 185 ml']
1027;['NORP: danske', 'ORGANIZATION: Novo {medical company}']
1028;['QUANTITY: tre tusinde milliliter']
1029;['MONEY: en krone', 'PERSON: Søs', 'MONEY: 5690 kr', 'MONEY: 181kr.']
1030;['CARDINAL: 56', 'MONEY: en krona', 'EVENT: H.K.H. Prins Christians 18-års fødselsdag']
1031;['ORGANIZATION: Saudi Aramco']
1032;['EVENT: Hafnia-sagen', 'CARDINAL: 10', 'PRODUCT: Addict Lip Maximizer 001 Pink', 'ORGANIZATION: NVIDIA']
1033;['EVENT: Trediveårskrigen']
1034;['TIME: 02:58', 'LANGUAGE: bhojpuri', 'NORP: jøderne', 'GPE: Berlins']
1035;['CARDINAL: femten']
1036;['GPE: Egypten']
1037;['PERCENT: halvfems procent', 'ORGANIZATION: SONYs', 'QUANTITY: 2597 g']
1038;['FACILITY: Ditlevsdal gårdbutik']
1039;['FACILITY: Copenhagen Opera House']
1040;['EVENT: Oklahoma City-Bombningen']
1041;['WORK OF ART: Partners ']
1042;['PERSON: Lisa']
1043;['QUANTITY: 152 kvadratmeter', 'QUANTITY: 323 kilometer', 'PERCENT: fjorten procent', 'PERSON: Kaj', 'PERSON: Andrea']
1044;['CARDINAL: en fjerdedel']
1045;['FACILITY: vårø isvej', 'GPE: Galten']
1046;['PERSON: Nicolaisen', 'NORP: Danmarksdemokraterne', 'GPE: Paris']
1047;['MONEY: halvfems øre']
1048;['PERSON: Dan Corell Meldgaard', 'GPE: USAs']
1049;['EVENT: Global Green Growth Institute-sagen {scandal}', 'PERSON: @helenachristensen']
1050;['GPE: Danmark', 'PERSON: Herdis U. Risager', 'NORP: Siumut']
1051;['PERCENT: tres procent']
1052;['PERSON: Henriette Kristina']
1053;['EVENT: Royal Run']
1054;['GPE: Ukraines', 'PERSON: Ilyas Theodor', 'PERSON: Tarek', 'PERCENT: halvtreds procent']
1055;['NORP: de areligiøse']
1056;['WORK OF ART: Huden er det elastiske hylster der omgiver hele legemet', 'PRODUCT: Tommy Teddy Snowboot']
1057;['EVENT: Karneval i Rio de Janeiro']
1058;['NORP: danskere']
1059;['LANGUAGE: nederlandsk']
1060;['EVENT: Skt. Patricks dag', 'MONEY: 4917kroner']
1061;['MONEY: firs danske kroner']
1062;['GPE: Roskilde']
1063;['LOCATION: Amazonas', 'GPE: Aarhus', 'ORGANIZATION: Celtics {basketball team}']
1064;['PERSON: Hjalte', 'PERSON: Mert G.', 'WORK OF ART: The Godfather', 'GPE: Tappernøjes']
1065;['ORGANIZATION: Skatteministeriet']
1066;['PERSON: Leonardo DiCaprio', 'FACILITY: Københavns Lufthavn', 'GPE: Montenegro', 'QUANTITY: 332 L']
1067;['TIME: 10-16']
1068;['ORGANIZATION: Mærsk']
1069;['ORGANIZATION: Rebild kommunes']
1070;['QUANTITY: 4 liter']
1071;['FACILITY: Georg Walther Andersens Vænge', 'MONEY: DKK 35']
1072;['CARDINAL: to']
1073;['PERSON: Jannick Horvath']
1074;['FACILITY: BLL {airport}', 'DATE: 9 måneder']
1075;['PERSON: @chriseriksen8']
1076;['DATE: Oktober 27 2014', 'DATE: 31/01/84']
1077;['ORGANIZATION: C MORE']
1078;['MONEY: dkk 5690', 'PERSON: DJ Snakes', 'WORK OF ART: Lean On']
1079;['PERSON: Ionut Buhl Urup', 'LOCATION: Refshalvøen']
1080;['WORK OF ART: One Dance {song}']
1081;['PERSON: Jeannette Hatice', 'PERSON: Troels Lund Poulsen', 'FACILITY: Capilano Suspension Bridge']
1082;['DATE: 15. Februar 2018', 'EVENT: Tivolis Juleshow']
1083;['ORGANIZATION: DRs {media}', 'LOCATION: Mallorca']
1084;['GPE: Odense', 'QUANTITY: 113 mm', 'PERCENT: seks procent']
1085;['LANGUAGE: spansk', 'TIME: kl 05.00']
1086;['TIME: 16:31:59', 'MONEY: firs millioner kr']
1087;['PRODUCT: AK-47 {weapon}']
1088;['ORGANIZATION: Saxo-Instituttet', 'DATE: 10 Jun, 1975']
1089;['LOCATION: Nordjylland']
1090;['PERSON: Paw Bluhme Kjærsgaard', 'PERCENT: 75 %']
1091;['PERSON: Liam Mathiesen Hviid']
1092;['GPE: Beders']
1093;['PERCENT: 48.34 %']
1094;['MONEY: en krone']
1095;['PERCENT: ti procent']
1096;['PERSON: Mohamed', 'GPE: Jelling', 'PERSON: Pippi Langstrømpe']
1097;['QUANTITY: 80tons', 'ORGANIZATION: Superbrugsen']
1098;['PERSON: Kathe Klitgaard Rytter']
1099;['GPE: Ebeltoft', 'MONEY: 87dkk']
1100;['LAW: Høstpantebrevsloven']
1101;['PERCENT: 33 %', 'TIME: i aften', 'GPE: Skagen']
1102;['CARDINAL: 5', 'LAW: ligningslovens § 16 H, stk. 6', 'PERCENT: 22.71 %']
1103;['QUANTITY: 326 m']
1104;['WORK OF ART: Smells like Teen Spirit']
1105;['PERCENT: 91%']
1106;['DATE: 2020']
1107;['TIME: 10.00 - 11.00']
1108;['PRODUCT: iPhone', 'NORP: tysker']
1109;['MONEY: 179 DKK', 'LOCATION: Vestjylland']
1110;['QUANTITY: sytten meter', 'PERCENT: 56 %']
1111;['GPE: Præstøs', 'ORGANIZATION: Dagrofa Logistik']
1112;['ORGANIZATION: Svendborg Rabbits', 'LANGUAGE: persisk', 'ORGANIZATION: Netflix']
1113;['LOCATION: Sønderjylland', 'DATE: Søndag', 'PERSON: Alberte Torp Qvist']
1114;['GPE: Aalborg']
1115;['QUANTITY: 7360 g']
1116;['ORGANIZATION: Arla', 'GPE: Nordhavn']
1117;['PERSON: Lissy Boesen', 'GPE: Aarhus', 'EVENT: K7 week {culture festival}']
1118;['NORP: Konservative', 'LANGUAGE: arabisk']
1119;['GPE: Kenya', 'DATE: 15-01-81']
1120;['PRODUCT: Faxe Kondi']
1121;['GPE: Uganda', 'PERSON: Inge-Lise Duponts']
1122;['EVENT: Bogforum {conference}']
1123;['PERSON: Melissa Block']
1124;['FACILITY: Fuglebjerggård']
1125;['MONEY: 259 danske kroner']
1126;['QUANTITY: 275 milligram']
1127;['PERSON: Elliott F.']
1128;['PERSON: Isa Clemmensen']
1129;['PERSON: Iris Kryger Søgaard', 'ORDINAL: anden', 'WORK OF ART: Forrest Gump', 'ORGANIZATION: Logitech', 'PRODUCT: G PRO']
1130;['PERSON: Mariam Kjølhede', 'MONEY: 179 DKK', 'DATE: Mandag', 'ORGANIZATION: PETs {politiets efterretningstjeneste}']
1131;['DATE: 1971', 'ORGANIZATION: VW', 'PRODUCT: Golf']
1132;['NORP: dansker', 'ORGANIZATION: CNN', 'GPE: Rwanda', 'ORGANIZATION: Landbrugsministeriet']
1133;['FACILITY: Københavns Lufthavn', 'ORGANIZATION: National Banken']
1134;['ORGANIZATION: Danmarks Medie- og Journalisthøjskoles', 'ORDINAL: anden']
1135;['WORK OF ART: A Change Is Gonna Come', 'LOCATION: Jylland', 'MONEY: dkk 5690']
1136;['PERCENT: 13%', 'PRODUCT: Macbook']
1137;['PERSON: Monica']
1138;['CARDINAL: en']
1139;['QUANTITY: halvfjerds hundrede kilowatt-timer']
1140;['GPE: Schweiz', 'PERSON: Christine']
1141;['ORDINAL: 17.']
1142;['LANGUAGE: svensk', 'MONEY: dkk193', 'PERSON: Ibrahim Svane', 'DATE: 04. November 1996']
1143;['MONEY: 326kroner']
1144;['QUANTITY: 278 millimeter', 'PERSON: Morgan Freeman']
1145;['ORGANIZATION: @premierleague {twitter handle}']
1146;['LAW: selskabslovens § 144', 'CARDINAL: 1']
1147;['GPE: Ringes']
1148;['LOCATION: det Indiske Ocean', 'LOCATION: Sydsjælland', 'LOCATION: Midtjylland', 'QUANTITY: fjorten hundrede cl']
1149;['GPE: Island', 'PRODUCT: Flowerpot VP9', 'PRODUCT: Bugles {chips}']
1150;['LAW: Direktiv om fælles regler for det indre marked for elektricitet']
1151;['LOCATION: Sjælland', 'PERSON: Sonja', 'NORP: svensk', 'GPE: Slagelse']
1152;['PERCENT: 60 %', 'PERSON: Ruben']
1153;['PERCENT: 34 %', 'GPE: Valby']
1154;['QUANTITY: halvfems hundrede mL', 'LOCATION: Lolland', 'PERSON: Weber', 'PERSON: Poul Reichhardt', 'WORK OF ART: Syd for Tana River']
1155;['WORK OF ART: Erasmus Montanus']
1156;['NORP: dansk', 'DATE: sidste uge']
1157;['MONEY: 155 kr.']
1158;['TIME: 19.00']
1159;['LOCATION: Lolland', 'GPE: Hvide Sandes']
1160;['PERSON: Marinus Hartmanns', 'PERSON: H.C. Andersen']
1161;['FACILITY: Studstrupværket', 'PERSON: Winnie P. Balle']
1162;['LAW: lovbekendtgørelse nr. 128']
1163;['PERSON: Luna Jønsson James']
1164;['PERSON: Alvin Odgaard', 'ORGANIZATION: EUs', 'PERSON: Deniz']
1165;['QUANTITY: 78 meter']
1166;['EVENT: 2.Verdenskrig', 'ORGANIZATION: Roskilde Universitet']
1167;['LAW: Norske Lov']
1168;['WORK OF ART: Starboy']
1169;['MONEY: 1 krone', 'PERCENT: 77 %', 'MONEY: firs dollars']
1170;['PRODUCT: Everyday Tote Bag', 'TIME: 23.00', 'ORGANIZATION: Maersk', 'GPE: Finland']
1171;['FACILITY: Almegårds Kaserne']
1172;['QUANTITY: 7690 kvadratmeter']
1173;['GPE: Norge', 'GPE: Østrig', 'PERCENT: 94.97%']
1174;['MONEY: fire KR', 'PERSON: Pihl']
1175;['DATE: Juni']
1176;['MONEY: 4617 øre', 'NORP: nordmænd']
1177;['MONEY: halvfjerds hundrede kr', 'ORGANIZATION: Alphabet', 'ORGANIZATION: Houston Rockets', 'PERCENT: 75%']
1178;['ORGANIZATION: Lundbeck']
1179;['NORP: dansk']
1180;"[""DATE: 1910'erne"", 'ORGANIZATION: Copenhagen Business School']"
1181;['PERSON: Mikkel Kessler', 'WORK OF ART: Pokemon GO', 'TIME: 15:28']
1182;['GPE: Esbjerg']
1183;['QUANTITY: 312 L']
1184;['DATE: Lørdag', 'PERSON: Piet Hein']
1185;['DATE: 01/11/13', 'TIME: i nat']
1186;['PERCENT: 65 %']
1187;['LOCATION: Jylland', 'GPE: Danmark']
1188;['LOCATION: Nordjylland']
1189;['GPE: Vallensbæks', 'DATE: 18 uger']
1190;['ORGANIZATION: United {football team}', 'ORGANIZATION: VW', 'PRODUCT: Passat']
1191;['WORK OF ART: En digters bazar', 'PERSON: Tom Bjarne']
1192;['CARDINAL: en', 'EVENT: Primavera Sound Barcelona {music festival}', 'ORGANIZATION: Danmarks Domstole']
1193;['PRODUCT: GoPro MAX', 'ORDINAL: 10.']
1194;['PERCENT: ni procent']
1195;['PERSON: Allans', 'LOCATION: Ejby Ådal', 'PERSON: Kai']
1196;['LANGUAGE: nynorsk']
1197;['GPE: Iran']
1198;['CARDINAL: fem', 'GPE: Tjekkiet', 'PERSON: Milas E.']
1199;['WORK OF ART: R {movie}']
1200;['PERSON: Magne Sommer']
1201;['EVENT: Brexit', 'LOCATION: det døde hav']
1202;['ORDINAL: 11.']
1203;['GPE: Athen', 'GPE: Esbjerg']
1204;['ORGANIZATION: University College SYD']
1205;['PERSON: Frede', 'PERSON: Catrine Trines', 'LOCATION: Alperne', 'LOCATION: Syddanmark']
1206;['ORGANIZATION: New York Times']
1207;['WORK OF ART: X Factor']
1208;['ORGANIZATION: Netflix', 'DATE: Fredag', 'PERSON: St. St. Blicher', 'WORK OF ART: Brudstykker af en Landsbydegns dagbog']
1209;['PERSON: Glahns', 'PERSON: Pihl']
1210;['LOCATION: Nordjylland', 'ORGANIZATION: DTU {university}']
1211;['FACILITY: den Kinesiske mur']
1212;['LOCATION: Vestjylland']
1213;['PERSON: Mikkel Kessler']
1214;['MONEY: 9678kr.', 'ORGANIZATION: Ford', 'PRODUCT: Mustang']
1215;['DATE: 04. Juni 1979']
1216;['WORK OF ART: Grand Theft Auto', 'DATE: i morgen']
1217;['LANGUAGE: islandsk']
1218;['DATE: 19-10-2003']
1219;['ORGANIZATION: MARTECs', 'GPE: Paris']
1220;['ORDINAL: første']
1221;['ORGANIZATION: CIA']
1222;['QUANTITY: 151 cm']
1223;['WORK OF ART: De grønne slagtere']
1224;['PERSON: Mie', 'PERSON: Steen', 'PERCENT: 91%']
1225;['PRODUCT: Duvet Dream Pillow Bag', 'GPE: Mexico']
1226;['EVENT: Trediveårskrigen', 'ORGANIZATION: KU {university}']
1227;['DATE: elleve måneder']
1228;['ORGANIZATION: KiMs']
1229;['GPE: Aarhus', 'NORP: polakker']
1230;['FACILITY: Det skæve tårn i Pisa', 'NORP: Moderaterne', 'PERCENT: 66%']
1231;['ORGANIZATION: @NASA {twitter handle}']
1232;['GPE: København']
1233;['PERSON: Lars Løkke Rasmussen', 'NORP: (M)']
1234;['GPE: Esbjerg', 'GPE: Randers']
1235;['DATE: fem-seks uger']
1236;['ORDINAL: 2.', 'TIME: 20.00 - 20.30']
1237;['PERCENT: 26 %']
1238;['NORP: svenske']
1239;['DATE: halvtredsårig']
1240;['PERCENT: 95 %', 'EVENT: Den Kolde Krig']
1241;['LANGUAGE: dansk']
1242;['PRODUCT: Daylite Plus rygsæk']
1243;['PERSON: Asta Larsson Krog']
1244;['PERSON: Lise Nørgaard']
1245;['LOCATION: Vestjylland']
1246;['ORGANIZATION: @NBA {twitter handle}']
1247;['PRODUCT: Rubiks terning', 'PERSON: June Grøn']
1248;['MONEY: 146 pesos']
1249;['DATE: April']
1250;['LANGUAGE: irsk', 'LAW: kildeskattelovens §§ 1', 'GPE: Grønland', 'EVENT: Sculpture by the Sea {temporary exhibition}']
1251;['QUANTITY: tre tusinde milliliter']
1252;['LANGUAGE: dansk', 'FACILITY: Colosseum']
1253;['GPE: Perus']
1254;['DATE: sidste uge']
1255;['ORGANIZATION: Google', 'ORDINAL: tredje', 'PERSON: Krogh']
1256;['PERSON: Tonny H.']
1257;['DATE: 2008', 'EVENT: juleaften', 'WORK OF ART: Den Jeg Elsker']
1258;['PERCENT: 26.47 %']
1259;['GPE: Liverpool']
1260;['FACILITY: Domus Vista {apartment complex}']
1261;['GPE: Brønderslev']
1262;['GPE: Bergens']
1263;['DATE: +16 år', 'PRODUCT: kims chips', 'ORGANIZATION: Infomedia']
1264;['EVENT: EM-slutrunde', 'NORP: muslimske trossamfund']
1265;['DATE: i går', 'TIME: 19.00', 'PERSON: Janus Brink']
1266;['LANGUAGE: engelsk']
1267;['LOCATION: Nordjylland']
1268;['QUANTITY: 176hektometer']
1269;['PERSON: @josefinehj', 'LAW: årsregnskabslovens § 7, stk. 3', 'GPE: Røndes']
1270;['PERSON: Herdis U. Risager']
1271;['EVENT: 2. Verdenskrig', 'PRODUCT: Daylite Plus rygsæk', 'GPE: Hamburg', 'TIME: 04:30-10.00']
1272;['WORK OF ART: Hjørringvej {movie}']
1273;['PERCENT: 65 %', 'ORGANIZATION: Microsofts']
1274;['LANGUAGE: lettisk']
1275;['MONEY: dkk 89']
1276;['LOCATION: Bornholm', 'DATE: 08/06/17']
1277;['EVENT: Irakkrigen']
1278;['QUANTITY: atten joule']
1279;['QUANTITY: 147kvm']
1280;['PERCENT: 2.16%']
1281;['PERCENT: 53.73 %']
1282;['EVENT: K7 week {culture festival}']
1283;['EVENT: Fanø SummerCup', 'CARDINAL: 6']
1284;['LANGUAGE: dansk', 'PERSON: Mitzi', 'PERCENT: 17%']
1285;['WORK OF ART: »De Første Kærester på Månen«', 'DATE: 18 uger', 'DATE: 10-11-70', 'GPE: Hirtshals']
1286;['ORGANIZATION: Podimo']
1287;['QUANTITY: 259 mm', 'PERCENT: 48.34 %']
1288;['PERCENT: halvtreds procent', 'WORK OF ART: The Legend of Zelda']
1289;['FACILITY: Christiansborg', 'GPE: Danmark', 'CARDINAL: en']
1290;['QUANTITY: tre tusinde tomme', 'DATE: i går', 'PERSON: St. St. Blicher', 'WORK OF ART: Brudstykker af en Landsbydegns dagbog']
1291;['GPE: Horsens']
1292;['CARDINAL: 125', 'LOCATION: Randers']
1293;['PERSON: Anne-Marie', 'PERCENT: 87 %', 'GPE: Danmark']
1294;['EVENT: CPH halvmarathon', 'PERSON: Lukas Gaardbo']
1295;['NORP: dansker', 'ORDINAL: 9.']
1296;['GPE: CPH']
1297;['PERCENT: 48 %']
1298;['GPE: Albertslund', 'EVENT: coronapandemien', 'PERSON: Azad K. Kellers']
1299;['GPE: München', 'PERCENT: 53 %']
1300;['NORP: De Rød-Grønne', 'WORK OF ART: Broen {tv series}']
1301;['MONEY: 295danske kroner', 'PERSON: Elsebeth Birk']
1302;['GPE: Hamborg']
1303;['PERSON: Celik']
1304;['PRODUCT: Faxe Kondi']
1305;['GPE: Malmø']
1306;['WORK OF ART: Klovn {tv series}', 'PERSON: Ingeborg Hamdan Kruse', 'MONEY: tre danske kroner', 'PERSON: Lars Løkke Rasmussen', 'NORP: (M)']
1307;['GPE: Rusland']
1308;['NORP: ateisterne', 'ORGANIZATION: herrelandsholdet', 'PRODUCT: Kindle']
1309;['FACILITY: Mount Rushmore']
1310;['GPE: Spanien', 'PERCENT: 49.88 %', 'PERCENT: seks procent', 'GPE: Amsterdam']
1311;['CARDINAL: 1021', 'PERSON: Mark Ebbesen Schmidt']
1312;['WORK OF ART: Enten-Eller', 'NORP: dansker']
1313;['GPE: Kolding', 'QUANTITY: 176 kvm', 'CARDINAL: 100']
1314;['LOCATION: Dansk Vestindien']
1315;['PERSON: Adel Jørgen']
1316;['TIME: 04:30-10.00']
1317;['QUANTITY: 267 kg', 'CARDINAL: 2', 'FACILITY: den Sorte Diamant']
1318;['TIME: i aftes']
1319;['GPE: Tørrings']
1320;['WORK OF ART: Sygeplejeskolen {tv series}', 'EVENT: Primavera Sound Barcelona {music festival}']
1321;['CARDINAL: 300', 'EVENT: 1. Verdenskrig']
1322;['TIME: i aftes']
1323;"['LOCATION: Falster', 'PERSON: Gilli', ""WORK OF ART: C'est la vie""]"
1324;['DATE: December', 'GPE: Lundby']
1325;['GPE: Danmark', 'PERSON: Naser Khader']
1326;['LOCATION: Aalborg SV', 'MONEY: 146 pesos']
1327;['NORP: dansk', 'GPE: Vibys']
1328;['PERSON: @hamderkurt']
1329;['PERSON: Kevin Nicholai', 'GPE: Oksbøl']
1330;['TIME: kl. 14.10']
1331;['PRODUCT: Mac Pro']
1332;['ORDINAL: 19.']
1333;['MONEY: 267kr.']
1334;['FACILITY: Københavns Rådhus']
1335;['WORK OF ART: Minecraft', 'PRODUCT: 1664 Blanc']
1336;['QUANTITY: 193 kilogram']
1337;['PERSON: Karl G. Mikkelsen', 'ORGANIZATION: Silkeborg {football team}']
1338;['GPE: Kastrup', 'PERCENT: 17 %']
1339;['WORK OF ART: Løgneren', 'NORP: muslimer', 'LAW: Hesteloven']
1340;"[""DATE: Lørdag, 30. Juni '07""]"
1341;['QUANTITY: firs millioner g', 'EVENT: Klimatopmødet COP26']
1342;['DATE: Juli 26 1987']
1343;['GPE: Ølstykkes']
1344;['LOCATION: Victoria Søen', 'ORGANIZATION: Lego A/S']
1345;['PERCENT: 75 %']
1346;['PERCENT: 6%', 'PERCENT: 4.34 %']
1347;['LOCATION: Sydsjælland']
1348;['LAW: værgemålslovens § 1, stk. 1', 'ORGANIZATION: TV2|DANMARK']
1349;['NORP: Soc.Dem', 'FACILITY: Mount Rushmore']
1350;['ORDINAL: 1.']
1351;['MONEY: 326kr', 'PERSON: Judith Westergaard']
1352;['CARDINAL: to tusinde', 'EVENT: OL i Rio', 'WORK OF ART: Breaking Bad']
1353;['CARDINAL: seks', 'FACILITY: Moais {stoneheads}']
1354;['WORK OF ART: One Dance {song}']
1355;['LOCATION: Varde Å', 'QUANTITY: tretten millioner gram', 'PRODUCT: Xbox']
1356;['ORGANIZATION: Postnord']
1357;['GPE: Roskildes']
1358;['QUANTITY: to tusinde kvadratkilometer', 'WORK OF ART: Rockstar']
1359;['GPE: Nordmakedoniens', 'GPE: Kroatien']
1360;['PERSON: Albert Einstein', 'PERSON: Vasyl', 'NORP: svenskere', 'FACILITY: Aalborg lufthavn']
1361;['ORGANIZATION: Buzzfeed']
1362;['PERSON: Helle Lehmann Hedegaard']
1363;['EVENT: Orkanen Igor']
1364;['PERSON: Ferhat']
1365;['PERSON: Anni Khan Lindners', 'PERSON: Helle Helle', 'WORK OF ART: Hvis det er']
1366;['NORP: danske']
1367;['MONEY: 31kroner']
1368;['PERSON: Mathilde X. Glahns', 'GPE: El Salvadors']
1369;['ORGANIZATION: Aalborg Universitets']
1370;['DATE: September']
1371;['EVENT: PFA-sagen {finance scandal}']
1372;['MONEY: Dkk5347']
1373;['MONEY: 9245kroner', 'ORDINAL: 16.', 'PRODUCT: Smarties']
1374;['GPE: Sorø']
1375;['WORK OF ART: Shape of You']
1376;['MONEY: atten GBP']
1377;['ORGANIZATION: SønderjyskE {handball team}', 'LANGUAGE: dansk']
1378;['PERSON: Darth Vaders']
1379;['ORGANIZATION: @cnnbrk {twitter handle}']
1380;['QUANTITY: 9539meter', 'MONEY: 308 kr', 'GPE: Ribe']
1381;['ORGANIZATION: Europæiske Union']
1382;['FACILITY: Keopspyramiden', 'PERSON: Matilda Kronborg']
1383;['PERSON: Casper C. Holm']
1384;['LANGUAGE: japansk']
1385;['DATE: 18. November 1984', 'MONEY: en krone']
1386;['ORGANIZATION: TTH Holsterbro {handball team}']
1387;['LANGUAGE: engelsk']
1388;['ORGANIZATION: FC Barcelonas', 'PRODUCT: Ceres Top', 'LAW: § 77']
1389;['PERSON: Taras', 'WORK OF ART: Kvinde Min', 'PERSON: Betina Singh']
1390;['DATE: i går']
1391;['NORP: danskere']
1392;['PERSON: Martin Asmussen', 'DATE: idag', 'TIME: 2 minutter', 'DATE: fem-seks uger']
1393;['CARDINAL: otte', 'PERCENT: 39 %', 'GPE: Reykjavik']
1394;['PERCENT: 96 %', 'DATE: 22. Februar 2000', 'DATE: Fredag']
1395;['NORP: tyrkere', 'ORGANIZATION: The Patriots']
1396;['LANGUAGE: finsk']
1397;['QUANTITY: 89 centiliter', 'NORP: Alternativet']
1398;['GPE: Grenaas', 'LOCATION: Sønderjylland', 'DATE: 1991', 'PERSON: Søren Pape Poulsen']
1399;['EVENT: nytår', 'DATE: elleve måneder']
1400;['PERCENT: 15.02 %', 'WORK OF ART: Breaking Bad']
1401;['NORP: De Rød-Grønne']
1402;['FACILITY: Alsingergården', 'GPE: Århus']
1403;['DATE: Torsdag', 'FACILITY: bratenvænget']
1404;['DATE: 05. November 2010', 'LAW: BEK nr 1332', 'PRODUCT: Knoglestolen', 'WORK OF ART: War and Peace']
1405;['GPE: Køge', 'PERSON: Dirch Passer', 'WORK OF ART: Ved Kongelunden']
1406;['LAW: lov om skifte af dødsboer']
1407;['LOCATION: Sønderjylland', 'ORGANIZATION: Snapchat']
1408;['LANGUAGE: german', 'PERSON: Liselotte Z. Truelsen', 'PERSON: @carowozniacki', 'PERSON: Popa']
1409;['PERSON: Atlas Kirks', 'PERCENT: 35 %']
1410;['GPE: Randers']
1411;['MONEY: 8048 Dkk']
1412;['QUANTITY: 332milliliter']
1413;['ORDINAL: 6.', 'EVENT: Navidad Flamenca {christmas concert}']
1414;['FACILITY: Operaen', 'DATE: 13. Juli 1996']
1415;['FACILITY: Angkor Wat']
