entity,context,TYPE
1,,CARDINAL
1,,CARDINAL
1,,CARDINAL
1,,CARDINAL
1,,CARDINAL
2,,CARDINAL
2,,CARDINAL
2,,CARDINAL
2,,CARDINAL
2,,CARDINAL
3,,CARDINAL
3,,CARDINAL
3,,CARDINAL
3,,CARDINAL
3,,CARDINAL
4,,CARDINAL
4,,CARDINAL
4,,CARDINAL
5,,CARDINAL
5,,CARDINAL
5,,CARDINAL
6,,CARDINAL
6,,CARDINAL
6,,CARDINAL
7,,CARDINAL
7,,CARDINAL
7,,CARDINAL
8,,CARDINAL
8,,CARDINAL
8,,CARDINAL
9,,CARDINAL
9,,CARDINAL
9,,CARDINAL
10,,CARDINAL
10,,CARDINAL
10,,CARDINAL
en,,CARDINAL
en,,CARDINAL
en,,CARDINAL
en,,CARDINAL
en,,CARDINAL
to,,CARDINAL
to,,CARDINAL
to,,CARDINAL
to,,CARDINAL
to,,CARDINAL
tre,,CARDINAL
tre,,CARDINAL
tre,,CARDINAL
tre,,CARDINAL
tre,,CARDINAL
fire,,CARDINAL
fire,,CARDINAL
fire,,CARDINAL
fem,,CARDINAL
fem,,CARDINAL
fem,,CARDINAL
seks,,CARDINAL
seks,,CARDINAL
seks,,CARDINAL
syv,,CARDINAL
syv,,CARDINAL
syv,,CARDINAL
otto,,CARDINAL
otto,,CARDINAL
otto,,CARDINAL
ni,,CARDINAL
ni,,CARDINAL
ni,,CARDINAL
ti,,CARDINAL
ti,,CARDINAL
ti,,CARDINAL
12,,CARDINAL
15,,CARDINAL
21,,CARDINAL
29,,CARDINAL
33,,CARDINAL
40,,CARDINAL
41,,CARDINAL
45,,CARDINAL
50,,CARDINAL
56,,CARDINAL
60,,CARDINAL
70,,CARDINAL
80,,CARDINAL
92,,CARDINAL
100,,CARDINAL
125,,CARDINAL
201,,CARDINAL
203,,CARDINAL
299,,CARDINAL
300,,CARDINAL
500,,CARDINAL
931,,CARDINAL
1021,,CARDINAL
1249,,CARDINAL
1291,,CARDINAL
10039,,CARDINAL
20312,,CARDINAL
30000,,CARDINAL
fjorten,,CARDINAL
nitten,,CARDINAL
femten,,CARDINAL
seksten,,CARDINAL
atten,,CARDINAL
elleve,,CARDINAL
tolv,,CARDINAL
to-og-tyve,,CARDINAL
seks hundrede,,CARDINAL
to tusinde,,CARDINAL
en tredjedel,,CARDINAL
en fjerdedel,,CARDINAL
halvdelen,,CARDINAL
"1,1",,CARDINAL
"2,5",,CARDINAL
"10,50",,CARDINAL
"13,3",,CARDINAL
10.5,,CARDINAL
11.0,,CARDINAL
1/3,,CARDINAL
1/5,,CARDINAL
13. Sep 19,,DATE
11. Mar 90,,DATE
17/08/95,,DATE
31/01/84,,DATE
25/05/12,,DATE
31/01/85,,DATE
08/06/17,,DATE
15/05/96,,DATE
26/12/96,,DATE
05/11/11,,DATE
11/12/16,,DATE
11/02/05,,DATE
09/09/05,,DATE
11/10/97,,DATE
01/11/13,,DATE
11/10/21,,DATE
12/10/15,,DATE
22. Oktober 1999,,DATE
04. November 1996,,DATE
13. Juli 1996,,DATE
01. Juni 2014,,DATE
06. August 2013,,DATE
14. Oktober 1992,,DATE
26. September 2000,,DATE
20. Januar 2009,,DATE
21. April 1999,,DATE
04. Juni 1979,,DATE
24. Februar 1996,,DATE
05. Februar 1976,,DATE
05. November 2010,,DATE
11. December 1984,,DATE
18. April 1989,,DATE
15. Februar 2018,,DATE
06. August 2007,,DATE
07. Juli 2013,,DATE
23. December 1979,,DATE
11. December 2001,,DATE
18. November 1984,,DATE
02. Maj 2013,,DATE
22. Februar 2000,,DATE
12. Oktober 1985,,DATE
19. Juni 1986,,DATE
Juli 26 1987,,DATE
Oktober 27 2014,,DATE
2001-07-04,,DATE
2013-02-03,,DATE
23-10-2004,,DATE
12-09-2013,,DATE
19-10-2003,,DATE
25-10-1980,,DATE
08-09-1987,,DATE
19-09-1992,,DATE
15-01-2023,,DATE
02-04-1974,,DATE
27-04-1984,,DATE
14-06-1993,,DATE
"10 Jun, 1975",,DATE
"10 Okt, 2000",,DATE
"Fredag, 31. Maj 2002",,DATE
"Fredag, 13. Januar 1978",,DATE
"Søndag, 08. December 1974",,DATE
"Tirsdag, 10. August 1999",,DATE
"Mandag, 24. Oktober 2022",,DATE
"Torsdag, 21. Maj 2015",,DATE
"Tirsdag, 20. Oktober 1992",,DATE
"Torsdag, 04. December 1975",,DATE
14/Aug/2018,,DATE
24/Maj/1984,,DATE
"Onsdag, 29-Jul-20",,DATE
"Lørdag, 01-Maj-99",,DATE
"Lørdag, 30. Juni '07",,DATE
"Mandag, 08. August '22",,DATE
"Torsdag, 08. September '16",,DATE
"Mandag, 14. August '95",,DATE
"Fredag, 25. Oktober '91",,DATE
23-10-92,,DATE
29-05-15,,DATE
28-06-97,,DATE
15-01-81,,DATE
10-11-70,,DATE
30-01-02,,DATE
30-03-71,,DATE
11-07-96,,DATE
2003,,DATE
2013,,DATE
2023,,DATE
1993,,DATE
1981,,DATE
2008,,DATE
1971,,DATE
2010,,DATE
2007,,DATE
1981,,DATE
2016,,DATE
2001,,DATE
2022,,DATE
2022,,DATE
2009,,DATE
2021,,DATE
1991,,DATE
1974,,DATE
1978,,DATE
2020,,DATE
Lørdag,,DATE
Fredag,,DATE
Lørdag,,DATE
Tirsdag,,DATE
Onsdag,,DATE
Onsdag,,DATE
Mandag,,DATE
Tirsdag,,DATE
Mandag,,DATE
Lørdag,,DATE
Søndag,,DATE
Torsdag,,DATE
Søndag,,DATE
Fredag,,DATE
Søndag,,DATE
Lørdag,,DATE
Lørdag,,DATE
Søndag,,DATE
Mandag,,DATE
Søndag,,DATE
Januar,,DATE
Marts,,DATE
April,,DATE
November,,DATE
November,,DATE
November,,DATE
Februar,,DATE
Marts,,DATE
Maj,,DATE
Marts,,DATE
December,,DATE
Juni,,DATE
April,,DATE
August,,DATE
Marts,,DATE
Maj,,DATE
September,,DATE
Oktober,,DATE
Marts,,DATE
April,,DATE
i morgen,,DATE
i morgen,,DATE
i morgen,,DATE
i morgen,,DATE
i morgen,,DATE
imorgen,,DATE
imorgen,,DATE
igår,,DATE
igår,,DATE
i går,,DATE
i går,,DATE
i går,,DATE
i går,,DATE
i går,,DATE
i dag,,DATE
i dag,,DATE
i dag,,DATE
i dag,,DATE
i dag,,DATE
idag,,DATE
idag,,DATE
næste uge,,DATE
næste uge,,DATE
næste måned,,DATE
næste måned,,DATE
næste år,,DATE
næste år,,DATE
overmorgen,,DATE
overmorgen,,DATE
overmorgen,,DATE
sidste uge,,DATE
sidste uge,,DATE
sidste måned,,DATE
sidste måned,,DATE
sidste år,,DATE
sidste år,,DATE
en måned,,DATE
en måned,,DATE
en måned,,DATE
en måned,,DATE
en måned,,DATE
to måneder,,DATE
to måneder,,DATE
9 måneder,,DATE
9 måneder,,DATE
elleve måneder,,DATE
elleve måneder,,DATE
en uge,,DATE
en uge,,DATE
fire uger,,DATE
fire uger,,DATE
fem-seks uger,,DATE
fem-seks uger,,DATE
18 uger,,DATE
18 uger,,DATE
1910'erne,,DATE
1910'erne,,DATE
firserne,,DATE
firserne,,DATE
90'erne,,DATE
90'erne,,DATE
1950'erne,,DATE
1950'erne,,DATE
et år,,DATE
et år,,DATE
et år,,DATE
et år,,DATE
et år,,DATE
15 år,,DATE
15 år,,DATE
3 år,,DATE
3 år,,DATE
syv år,,DATE
syv år,,DATE
ni år,,DATE
ni år,,DATE
10-årig,,DATE
10-årig,,DATE
tolvårig,,DATE
toårig,,DATE
femårig,,DATE
halvtredsårig,,DATE
8-11-årige,,DATE
+18 år,,DATE
+16 år,,DATE
dkk218,,MONEY
halvfems tusinde dkk,,MONEY
dkk193,,MONEY
fjorten dkk,,MONEY
dkk 89,,MONEY
dkk95,,MONEY
113dkk,,MONEY
55dkk,,MONEY
dkk 259,,MONEY
dkk 5690,,MONEY
295dkk,,MONEY
108dkk,,MONEY
5347 dkk,,MONEY
dkk4329,,MONEY
87dkk,,MONEY
DKK 278,,MONEY
161DKK,,MONEY
DKK218,,MONEY
DKK2090,,MONEY
DKK 35,,MONEY
161 DKK,,MONEY
55 DKK,,MONEY
DKK9359,,MONEY
DKK313,,MONEY
firs DKK,,MONEY
DKK 163,,MONEY
DKK161,,MONEY
179 DKK,,MONEY
DKK5347,,MONEY
7690DKK,,MONEY
107kroner,,MONEY
326kroner,,MONEY
115 kroner,,MONEY
firs hundrede kroner,,MONEY
9245kroner,,MONEY
9678kroner,,MONEY
tre kroner,,MONEY
234 kroner,,MONEY
326kroner,,MONEY
31kroner,,MONEY
4917kroner,,MONEY
99 kroner,,MONEY
syv kroner,,MONEY
5347kroner,,MONEY
108 kroner,,MONEY
14kroner,,MONEY
87kroner,,MONEY
seksten kroner,,MONEY
61kroner,,MONEY
30kroner,,MONEY
ni kroner,,MONEY
sytten kroner,,MONEY
208 kroner,,MONEY
151 kroner,,MONEY
109 kroner,,MONEY
9245kroner,,MONEY
178kroner,,MONEY
7417kroner,,MONEY
196kroner,,MONEY
9359kroner,,MONEY
en krona,,MONEY
1 krona,,MONEY
en krona,,MONEY
en krona,,MONEY
en krona,,MONEY
en krona,,MONEY
181kr.,,MONEY
tre kr.,,MONEY
241 kr.,,MONEY
3574kr.,,MONEY
ti tusinde kr.,,MONEY
176kr.,,MONEY
327 kr.,,MONEY
9678kr.,,MONEY
155 kr.,,MONEY
5271 kr.,,MONEY
5347kr.,,MONEY
295 kr.,,MONEY
152kr.,,MONEY
7649 kr.,,MONEY
30 kr.,,MONEY
1687kr.,,MONEY
1475kr.,,MONEY
55 kr.,,MONEY
278 kr.,,MONEY
ti kr.,,MONEY
323 kr.,,MONEY
39kr.,,MONEY
337kr.,,MONEY
halvfjerds hundrede kr.,,MONEY
7417kr.,,MONEY
267kr.,,MONEY
tres kr.,,MONEY
68kr.,,MONEY
135 kr.,,MONEY
67 kr.,,MONEY
259KR,,MONEY
fire millioner KR,,MONEY
halvtreds tusinde KR,,MONEY
ti KR,,MONEY
fire KR,,MONEY
213KR,,MONEY
176KR,,MONEY
196 KR,,MONEY
35 KR,,MONEY
176KR,,MONEY
13KR,,MONEY
295KR,,MONEY
107KR,,MONEY
13 KR,,MONEY
fjorten KR,,MONEY
326kr,,MONEY
halvfems hundrede kr,,MONEY
196kr,,MONEY
fyrre kr,,MONEY
7417 kr,,MONEY
9665kr,,MONEY
5081kr,,MONEY
6859kr,,MONEY
224 kr,,MONEY
4880 kr,,MONEY
5690 kr,,MONEY
308 kr,,MONEY
5081kr,,MONEY
to tusinde kr,,MONEY
14kr,,MONEY
109 kr,,MONEY
3221 kr,,MONEY
firs millioner kr,,MONEY
25kr,,MONEY
196kr,,MONEY
31kr,,MONEY
152kr,,MONEY
161kr,,MONEY
218 kr,,MONEY
halvfjerds hundrede kr,,MONEY
9665kr,,MONEY
syv millioner kr,,MONEY
259kr,,MONEY
295kr,,MONEY
femten kr,,MONEY
5347Dkk,,MONEY
Dkk332,,MONEY
Dkk5347,,MONEY
7122Dkk,,MONEY
Dkk7360,,MONEY
8048 Dkk,,MONEY
67 Dkk,,MONEY
55 Dkk,,MONEY
Dkk113,,MONEY
1 krone,,MONEY
en krone,,MONEY
en krone,,MONEY
en krone,,MONEY
en krone,,MONEY
1 krone,,MONEY
1 krone,,MONEY
en krone,,MONEY
en krone,,MONEY
1 krone,,MONEY
en krone,,MONEY
en krone,,MONEY
en krone,,MONEY
en krone,,MONEY
1 krone,,MONEY
en dollar,,MONEY
en dollar,,MONEY
1 dollar,,MONEY
firs dollars,,MONEY
241dollars,,MONEY
9665 dollars,,MONEY
329USD,,MONEY
2720 USD,,MONEY
USD 123,,MONEY
$4329,,MONEY
76 $,,MONEY
196 $,,MONEY
1 peso,,MONEY
1 peso,,MONEY
en peso,,MONEY
65pesos,,MONEY
35 pesos,,MONEY
146 pesos,,MONEY
61pund,,MONEY
ti tusinde pund,,MONEY
5690pund,,MONEY
firs euro,,MONEY
7576 euro,,MONEY
3221euro,,MONEY
EUR222,,MONEY
163EUR,,MONEY
femten EUR,,MONEY
107 kronor,,MONEY
tre kronor,,MONEY
seks kronor,,MONEY
atten GBP,,MONEY
GBP 1032,,MONEY
GBP 267,,MONEY
80danske kroner,,MONEY
halvfems hundrede danske kroner,,MONEY
295danske kroner,,MONEY
4917 danske kroner,,MONEY
205 danske kroner,,MONEY
firs danske kroner,,MONEY
329 danske kroner,,MONEY
tre danske kroner,,MONEY
3221danske kroner,,MONEY
ni danske kroner,,MONEY
259 danske kroner,,MONEY
308 danske kroner,,MONEY
7690danske kroner,,MONEY
178danske kroner,,MONEY
156danske kroner,,MONEY
nitten amerikanske dollars,,MONEY
tre tusinde amerikanske dollars,,MONEY
152 amerikanske dollars,,MONEY
4617 øre,,MONEY
219øre,,MONEY
halvfems øre,,MONEY
95€,,MONEY
337€,,MONEY
€234,,MONEY
£8048,,MONEY
341 £,,MONEY
7649 £,,MONEY
seksten procent,,PERCENT
94.63 %,,PERCENT
29 %,,PERCENT
65%,,PERCENT
nitten procent,,PERCENT
otte procent,,PERCENT
34 %,,PERCENT
17.03%,,PERCENT
halvfems procent,,PERCENT
26 %,,PERCENT
16%,,PERCENT
90 %,,PERCENT
40 %,,PERCENT
17.03 %,,PERCENT
28 %,,PERCENT
75 %,,PERCENT
57 %,,PERCENT
99%,,PERCENT
fem procent,,PERCENT
fjorten procent,,PERCENT
94.97 %,,PERCENT
84%,,PERCENT
52 %,,PERCENT
36.03%,,PERCENT
40 %,,PERCENT
77 %,,PERCENT
31 %,,PERCENT
15.02%,,PERCENT
49.88 %,,PERCENT
88 %,,PERCENT
6%,,PERCENT
74 %,,PERCENT
65 %,,PERCENT
94%,,PERCENT
64 %,,PERCENT
32 %,,PERCENT
17 %,,PERCENT
48.34 %,,PERCENT
34 %,,PERCENT
65 %,,PERCENT
5 %,,PERCENT
32 %,,PERCENT
seksten procent,,PERCENT
63%,,PERCENT
75 %,,PERCENT
nitten procent,,PERCENT
tres procent,,PERCENT
16 %,,PERCENT
69%,,PERCENT
2.16%,,PERCENT
12%,,PERCENT
94 %,,PERCENT
75 %,,PERCENT
54.96 %,,PERCENT
seks procent,,PERCENT
13%,,PERCENT
17%,,PERCENT
56 %,,PERCENT
32.94 %,,PERCENT
77 %,,PERCENT
18 %,,PERCENT
5%,,PERCENT
92.78 %,,PERCENT
tusind procent,,PERCENT
75 %,,PERCENT
82 %,,PERCENT
halvtreds procent,,PERCENT
69 %,,PERCENT
94.63 %,,PERCENT
8 %,,PERCENT
53 %,,PERCENT
13%,,PERCENT
32 %,,PERCENT
firs procent,,PERCENT
13 %,,PERCENT
71 %,,PERCENT
89 %,,PERCENT
26 %,,PERCENT
57 %,,PERCENT
53.73 %,,PERCENT
66%,,PERCENT
84.25 %,,PERCENT
seks procent,,PERCENT
tre procent,,PERCENT
halvtreds procent,,PERCENT
35 %,,PERCENT
35 %,,PERCENT
91%,,PERCENT
89 %,,PERCENT
36.03%,,PERCENT
39 %,,PERCENT
57 %,,PERCENT
69%,,PERCENT
98 %,,PERCENT
90 %,,PERCENT
65%,,PERCENT
45%,,PERCENT
51 %,,PERCENT
98.25 %,,PERCENT
48 %,,PERCENT
71 %,,PERCENT
87 %,,PERCENT
16 %,,PERCENT
9.85%,,PERCENT
99 %,,PERCENT
26.47 %,,PERCENT
52%,,PERCENT
57 %,,PERCENT
60 %,,PERCENT
32 %,,PERCENT
fjorten procent,,PERCENT
39 %,,PERCENT
94 %,,PERCENT
tolv procent,,PERCENT
sytten procent,,PERCENT
2 %,,PERCENT
88%,,PERCENT
sytten procent,,PERCENT
32.94 %,,PERCENT
nitten procent,,PERCENT
34 %,,PERCENT
atten procent,,PERCENT
tretten procent,,PERCENT
34 %,,PERCENT
75%,,PERCENT
64%,,PERCENT
17 %,,PERCENT
39 %,,PERCENT
10 %,,PERCENT
19 %,,PERCENT
tusind procent,,PERCENT
99 %,,PERCENT
84 %,,PERCENT
10 %,,PERCENT
tres procent,,PERCENT
94 %,,PERCENT
28 %,,PERCENT
38%,,PERCENT
95 %,,PERCENT
66%,,PERCENT
ni procent,,PERCENT
tusind procent,,PERCENT
70 %,,PERCENT
48.34 %,,PERCENT
53 %,,PERCENT
84 %,,PERCENT
halvfjerds procent,,PERCENT
40 %,,PERCENT
98.67%,,PERCENT
13 %,,PERCENT
77 %,,PERCENT
tretten procent,,PERCENT
98%,,PERCENT
4.34 %,,PERCENT
96 %,,PERCENT
98%,,PERCENT
fem procent,,PERCENT
39 %,,PERCENT
85 %,,PERCENT
22.71 %,,PERCENT
94.97%,,PERCENT
halvfems procent,,PERCENT
1 %,,PERCENT
82%,,PERCENT
32%,,PERCENT
9.85 %,,PERCENT
33.13 %,,PERCENT
60 %,,PERCENT
75%,,PERCENT
33 %,,PERCENT
halvfems procent,,PERCENT
97.0 %,,PERCENT
78.49 %,,PERCENT
6 %,,PERCENT
5 %,,PERCENT
91%,,PERCENT
seks procent,,PERCENT
33.13 %,,PERCENT
75%,,PERCENT
seks procent,,PERCENT
40 %,,PERCENT
halvfems procent,,PERCENT
29%,,PERCENT
25 %,,PERCENT
16 %,,PERCENT
6 %,,PERCENT
69.42 %,,PERCENT
26.3%,,PERCENT
57 %,,PERCENT
halvtreds procent,,PERCENT
halvfems procent,,PERCENT
firs procent,,PERCENT
9.85%,,PERCENT
48.11%,,PERCENT
26.3 %,,PERCENT
65 %,,PERCENT
67 %,,PERCENT
85%,,PERCENT
firs procent,,PERCENT
18 %,,PERCENT
1 %,,PERCENT
40%,,PERCENT
84 %,,PERCENT
86%,,PERCENT
22.71 %,,PERCENT
atten procent,,PERCENT
firs procent,,PERCENT
45 %,,PERCENT
31.11%,,PERCENT
95 %,,PERCENT
94.63 %,,PERCENT
71 %,,PERCENT
94 %,,PERCENT
atten procent,,PERCENT
95 %,,PERCENT
65 %,,PERCENT
tre procent,,PERCENT
26%,,PERCENT
38%,,PERCENT
tres procent,,PERCENT
ni procent,,PERCENT
halvtreds procent,,PERCENT
halvfems procent,,PERCENT
35 %,,PERCENT
89 %,,PERCENT
halvfems procent,,PERCENT
29 %,,PERCENT
ti procent,,PERCENT
ti procent,,PERCENT
atten procent,,PERCENT
36 %,,PERCENT
31 %,,PERCENT
76%,,PERCENT
86 %,,PERCENT
17%,,PERCENT
seks procent,,PERCENT
2 %,,PERCENT
99 %,,PERCENT
91%,,PERCENT
86%,,PERCENT
5 %,,PERCENT
et hundrede procent,,PERCENT
89 %,,PERCENT
77 %,,PERCENT
10 %,,PERCENT
16%,,PERCENT
15.02 %,,PERCENT
65 %,,PERCENT
tusind procent,,PERCENT
91 %,,PERCENT
45 %,,PERCENT
81.79%,,PERCENT
ti procent,,PERCENT
54.96 %,,PERCENT
54.96 %,,PERCENT
84 %,,PERCENT
95 %,,PERCENT
77 %,,PERCENT
50%,,PERCENT
4 %,,PERCENT
193 dusin,,QUANTITY
7690 snes,,QUANTITY
tre tusinde tomme,,QUANTITY
1475 sømil,,QUANTITY
95hektar,,QUANTITY
tyve hundrede ppm,,QUANTITY
113 mm,,QUANTITY
55 mm,,QUANTITY
259 mm,,QUANTITY
193 mm,,QUANTITY
295 mm,,QUANTITY
108 millimeter,,QUANTITY
96millimeter,,QUANTITY
310 millimeter,,QUANTITY
87 millimeter,,QUANTITY
278 millimeter,,QUANTITY
161 cm,,QUANTITY
218 cm,,QUANTITY
7649cm,,QUANTITY
151 cm,,QUANTITY
163 cm,,QUANTITY
196 centimeter,,QUANTITY
213 centimeter,,QUANTITY
244 centimeter,,QUANTITY
tre centimeter,,QUANTITY
208centimeter,,QUANTITY
252 dm,,QUANTITY
tolv decimeter,,QUANTITY
3075 m,,QUANTITY
40m,,QUANTITY
33 m,,QUANTITY
96 m,,QUANTITY
120m,,QUANTITY
107 m,,QUANTITY
326 m,,QUANTITY
ni hundrede m,,QUANTITY
atten m,,QUANTITY
78 m,,QUANTITY
sytten meter,,QUANTITY
2597 meter,,QUANTITY
326 meter,,QUANTITY
244 meter,,QUANTITY
99 meter,,QUANTITY
96 meter,,QUANTITY
55 meter,,QUANTITY
87 meter,,QUANTITY
61 meter,,QUANTITY
otte tusinde meter,,QUANTITY
9539meter,,QUANTITY
224meter,,QUANTITY
109 meter,,QUANTITY
78 meter,,QUANTITY
135meter,,QUANTITY
196meter,,QUANTITY
2599meter,,QUANTITY
7 meter,,QUANTITY
115 meter,,QUANTITY
sytten meter,,QUANTITY
2597 dekameter,,QUANTITY
301 hm,,QUANTITY
176hektometer,,QUANTITY
33 km,,QUANTITY
155 km,,QUANTITY
155 km,,QUANTITY
295 km,,QUANTITY
203 km,,QUANTITY
217 km,,QUANTITY
261 km,,QUANTITY
55km,,QUANTITY
89km,,QUANTITY
323 km,,QUANTITY
178 KM,,QUANTITY
halvfems hundrede KM,,QUANTITY
32KM,,QUANTITY
185KM,,QUANTITY
68 KM,,QUANTITY
267 kilometer,,QUANTITY
ni hundrede kilometer,,QUANTITY
259 kilometer,,QUANTITY
halvfems kilometer,,QUANTITY
1475 kilometer,,QUANTITY
252 kilometer,,QUANTITY
196 kilometer,,QUANTITY
35kilometer,,QUANTITY
323 kilometer,,QUANTITY
295 kilometer,,QUANTITY
152 kvadratmeter,,QUANTITY
7690 kvadratmeter,,QUANTITY
fjorten kvadratmeter,,QUANTITY
196 kvadratmeter,,QUANTITY
32 kvadratmeter,,QUANTITY
147kvm,,QUANTITY
273kvm,,QUANTITY
ni kvm,,QUANTITY
176 kvm,,QUANTITY
176 kvm,,QUANTITY
290 m^2,,QUANTITY
firs km^2,,QUANTITY
to tusinde kvadratkilometer,,QUANTITY
14 kubikmeter,,QUANTITY
109 m^3,,QUANTITY
halvfjerds hundrede liter,,QUANTITY
seksten liter,,QUANTITY
25 liter,,QUANTITY
196liter,,QUANTITY
152 liter,,QUANTITY
halvfjerds hundrede liter,,QUANTITY
161liter,,QUANTITY
4 liter,,QUANTITY
halvfjerds hundrede liter,,QUANTITY
275 liter,,QUANTITY
259L,,QUANTITY
29 L,,QUANTITY
96 L,,QUANTITY
332 L,,QUANTITY
96L,,QUANTITY
58L,,QUANTITY
halvfems L,,QUANTITY
312 L,,QUANTITY
68 L,,QUANTITY
67 L,,QUANTITY
tre tusinde milliliter,,QUANTITY
55milliliter,,QUANTITY
113 milliliter,,QUANTITY
syv milliliter,,QUANTITY
332milliliter,,QUANTITY
185 ml,,QUANTITY
334 ml,,QUANTITY
337ml,,QUANTITY
332 ml,,QUANTITY
to ml,,QUANTITY
tre mL,,QUANTITY
halvfems hundrede mL,,QUANTITY
241 mL,,QUANTITY
tres mL,,QUANTITY
295 mL,,QUANTITY
77 centiliter,,QUANTITY
89 centiliter,,QUANTITY
34centiliter,,QUANTITY
4 centiliter,,QUANTITY
76 centiliter,,QUANTITY
fjorten hundrede cl,,QUANTITY
9245 cl,,QUANTITY
196 cl,,QUANTITY
nitten cl,,QUANTITY
147 cl,,QUANTITY
65CL,,QUANTITY
95 pund,,QUANTITY
61 kilogram,,QUANTITY
tre tusinde kilogram,,QUANTITY
193 kilogram,,QUANTITY
72 kilogram,,QUANTITY
334 kilogram,,QUANTITY
3075 kg,,QUANTITY
2599 kg,,QUANTITY
78kg,,QUANTITY
femten kg,,QUANTITY
13 kg,,QUANTITY
267 kg,,QUANTITY
halvfems hundrede kg,,QUANTITY
7360 kg,,QUANTITY
5113 kg,,QUANTITY
267 kg,,QUANTITY
176 KG,,QUANTITY
295 KG,,QUANTITY
259 KG,,QUANTITY
205 KG,,QUANTITY
329 gram,,QUANTITY
334 gram,,QUANTITY
259 gram,,QUANTITY
tretten millioner gram,,QUANTITY
120 gram,,QUANTITY
35 gram,,QUANTITY
3075 gram,,QUANTITY
259 gram,,QUANTITY
tre tusinde gram,,QUANTITY
219 gram,,QUANTITY
5113 g,,QUANTITY
firs millioner g,,QUANTITY
337 g,,QUANTITY
7360 g,,QUANTITY
2597 g,,QUANTITY
275 milligram,,QUANTITY
fjorten millioner milligram,,QUANTITY
203 milligram,,QUANTITY
55 mg,,QUANTITY
65mg,,QUANTITY
halvfems hundrede mg,,QUANTITY
259 karat,,QUANTITY
atten joule,,QUANTITY
261 j,,QUANTITY
halvfjerds hundrede kilowatt-timer,,QUANTITY
5080kWh,,QUANTITY
nitten millioner kwh,,QUANTITY
130 celsius,,QUANTITY
252 fahrenheit,,QUANTITY
tretten hundrede ton,,QUANTITY
80tons,,QUANTITY
313 t,,QUANTITY
4 °c,,QUANTITY
Marius,,PERSON
Calvin,,PERSON
Marc,,PERSON
Mogens,,PERSON
Christian,,PERSON
Benny,,PERSON
Joey,,PERSON
Leif,,PERSON
Hugo,,PERSON
Chris,,PERSON
Frederik,,PERSON
Peer,,PERSON
Eric,,PERSON
Jon,,PERSON
Conrad,,PERSON
Adrian,,PERSON
Kalle,,PERSON
Louie,,PERSON
Bjarke,,PERSON
Sigurd,,PERSON
Theodor,,PERSON
Nicolas,,PERSON
Nilas,,PERSON
Michael,,PERSON
Tobias,,PERSON
Ivan,,PERSON
Yousef,,PERSON
Bertram,,PERSON
Thøger,,PERSON
Johan,,PERSON
Jimmi,,PERSON
Arthur,,PERSON
Esben,,PERSON
Georgios,,PERSON
Nick,,PERSON
Dan,,PERSON
Asger,,PERSON
Viggo,,PERSON
Ebbe,,PERSON
Terkel,,PERSON
Marcin,,PERSON
Bohdan,,PERSON
Tommi,,PERSON
Konrad,,PERSON
Silas,,PERSON
Mykola,,PERSON
Kevin,,PERSON
Janus,,PERSON
Elias,,PERSON
Kamal,,PERSON
Joanna,,PERSON
Didde,,PERSON
Hanna,,PERSON
Saga,,PERSON
Tine,,PERSON
Lin,,PERSON
Svetlana,,PERSON
Lisa,,PERSON
Kirsten,,PERSON
Ana,,PERSON
Maj-Britt,,PERSON
Esther,,PERSON
Nelly,,PERSON
Kari,,PERSON
Kamilla,,PERSON
Malene,,PERSON
Matilde,,PERSON
Maren,,PERSON
Berith,,PERSON
Agnethe,,PERSON
Melina,,PERSON
Nanna,,PERSON
Andrea,,PERSON
Rosa,,PERSON
Majbritt,,PERSON
Carmen,,PERSON
Nina,,PERSON
Bettina,,PERSON
Herdis,,PERSON
Diana,,PERSON
Rosemarie,,PERSON
Amanda,,PERSON
Lilli,,PERSON
Katrine,,PERSON
Christel,,PERSON
Anny,,PERSON
Hedvig,,PERSON
Josefine,,PERSON
Lykke,,PERSON
Rebekka,,PERSON
Erna,,PERSON
Cecilia,,PERSON
Fatima,,PERSON
Doris,,PERSON
Natasha,,PERSON
Margrethe,,PERSON
Jytte,,PERSON
Jill,,PERSON
Mariann,,PERSON
Bente,,PERSON
Holme,,PERSON
Pedersen,,PERSON
Flodin,,PERSON
Kirkegaard,,PERSON
Thuesen,,PERSON
Johannsen,,PERSON
Østergaard,,PERSON
Storm,,PERSON
Willumsen,,PERSON
Mørch,,PERSON
Poulsen,,PERSON
Holm-Hansen,,PERSON
Dalan,,PERSON
Lund,,PERSON
Riis,,PERSON
Frost,,PERSON
Høyer,,PERSON
Sternberg,,PERSON
Sørensen,,PERSON
Henriksen,,PERSON
Nørregaard,,PERSON
Nonboe,,PERSON
Kragelund,,PERSON
Hald,,PERSON
Fabricius,,PERSON
Ruben Sindberg,,PERSON
Mathias Schmidt,,PERSON
Rene Underbjerg,,PERSON
Nils Kruse,,PERSON
Nichlas Viborg,,PERSON
Marcel Ladefoged,,PERSON
Toke Møller-Larsen,,PERSON
Kristoffer Paulsen,,PERSON
Villum Nikolajsen,,PERSON
Ejvind Sandstrøm,,PERSON
Ibrahim Jacobsen,,PERSON
Amir Hermansen,,PERSON
Filip Rosendal,,PERSON
Alan Mogensen,,PERSON
Vagn Lange,,PERSON
Dennis Eibye,,PERSON
Kjeld Hedegaard,,PERSON
Abdullah Frederiksen,,PERSON
Mohammad Overgaard,,PERSON
